"ngram","document_abstract_id"
"container material",207287000005
"deliberate addition",207287000005
"diesel fuel",207287000005
"elevated temperature",207287000005
"extraneous material",207287000005
"fatty acid",207287000005
"fatty acid chain",207287000005
"mono-alkyl ester",207287000005
"oxidation process",207287000005
"oxidative stability",207287000005
"unsaturated fatty acid chain",207287000005
"use frying oils",207287000005
"vegetable oils",207287000005
"chemical composition",207287000006
"conventional diesel fuel",207287000006
"diesel combustion",207287000006
"diesel combustion process",207287000006
"emission control",207287000006
"fuel injection",207287000006
"ignition process",207287000006
"particulate emission",207287000006
"physical property",207287000006
"pollutant formation",207287000006
"alternate fuel",207519900002
"ASTM standard",207519900002
"biodiesel ester",207519900002
"cetane index",207519900002
"cloud point",207519900002
"crude oil price",207519900002
"decrease trend",207519900002
"diesel substitute",207519900002
"environmental problem",207519900002
"ethyl alcohol",207519900002
"ethyl ester",207519900002
"fatty acid composition",207519900002
"flash point",207519900002
"fossil fuel",207519900002
"fossil fuel use",207519900002
"free content",207519900002
"fuel property",207519900002
"gas chromatography",207519900002
"international market",207519900002
"local restaurant",207519900002
"nova scotia",207519900002
"oil reserve",207519900002
"petroleum product",207519900002
"phosphorous content",207519900002
"phosphorus content",207519900002
"physical property",207519900002
"pour point",207519900002
"room temperature",207519900002
"sediment content",207519900002
"sodium hydroxide",207519900002
"sulfur content",207519900002
"transesterification process",207519900002
"use fuel",207519900002
"waste cooking oil",207519900002
"waste cooking oils",207519900002
"add benefit",207576100002
"biodiesel industry",207576100002
"biofuel industry",207576100002
"emerge industry",207576100002
"extensive knowledge",207576100002
"fast-growing tree",207576100002
"future research",207576100002
"future success",207576100002
"large-scale production",207576100002
"leguminous tree",207576100002
"marginal land",207576100002
"oil biosynthesis",207576100002
"oil production",207576100002
"plant growth",207576100002
"pongamia pinnata",207576100002
"seed production",207576100002
"sustainable industry",207576100002
"sustainable source",207576100002
"vegetable oil production",207576100002
"animal fat",207576100004
"arable land",207576100004
"biodiesel production system",207576100004
"biofuel production",207576100004
"biomass yield",207576100004
"brief overview",207576100004
"chemical energy",207576100004
"continuous supply",207576100004
"conventional crop",207576100004
"economic sustainability",207576100004
"electricity market",207576100004
"environmental sustainability",207576100004
"fossil fuel",207576100004
"freshwater use",207576100004
"fuel production",207576100004
"fuel production process",207576100004
"generation system",207576100004
"global demand",207576100004
"global energy demand",207576100004
"global food supply",207576100004
"greenhouse gas",207576100004
"harvesting process",207576100004
"microalgal system",207576100004
"neutral production",207576100004
"oil crop",207576100004
"only source",207576100004
"photon conversion efficiency",207576100004
"reliable supply",207576100004
"renewable energy source",207576100004
"renewable source",207576100004
"severe consequence",207576100004
"waste stream",207576100004
"water stream",207576100004
"ball milling",207576100006
"biomass processing",207576100006
"cell wall",207576100006
"chemometric analysis",207576100006
"comparative evaluation",207576100006
"conversion efficiency",207576100006
"lignin component",207576100006
"nmr fingerprint",207576100006
"nmr tube",207576100006
"nuclear magnetic resonance",207576100006
"optimize processing",207576100006
"plant cell wall",207576100006
"secondary screen",207576100006
"solution-state resonance",207576100006
"structural evaluation",207576100006
"structural fingerprint",207576100006
"structural modification",207576100006
"two-dimensional resonance",207576100006
"5-year period",207576100009
"annualize yield",207576100009
"average cost",207576100009
"biomass crop",207576100009
"biomass dry matter",207576100009
"biomass feedstock",207576100009
"cellulosic biomass",207576100009
"commercial production",207576100009
"farm cost",207576100009
"farm gate",207576100009
"full rotation",207576100009
"north dakota",207576100009
"production cost",207576100009
"reliable benchmark",207576100009
"substantial quantity",207576100009
"acid pre-treatment",207576300002
"bioethanol production",207576300002
"biomass production",207576300002
"biomass yield",207576300002
"cad activity",207576300002
"cell wall",207576300002
"cinnamoyl coa reductase",207576300002
"cinnamyl alcohol dehydrogenase",207576300002
"control level",207576300002
"dry matter",207576300002
"enzymatic activity",207576300002
"genetic modification",207576300002
"lignin contents",207576300002
"lignin level",207576300002
"medicago sativa",207576300002
"monolignol pathway",207576300002
"normal production",207576300002
"reduce level",207576300002
"saccharification efficiency",207576300002
"subsequent digestion",207576300002
"sugar release",207576300002
"terminal enzyme",207576300002
"transgenic line",207576300002
"acid-catalyzed reaction",207576300004
"amorphous cellulose",207576300004
"beta-o-4 linkage",207576300004
"cellulose allomorph",207576300004
"cellulose crystallinity",207576300004
"crystalline form",207576300004
"enzymatic deconstruction",207576300004
"line shape analysis",207576300004
"loblolly pine",207576300004
"milled wood lignin",207576300004
"monomeric sugar",207576300004
"nmr spectroscopy",207576300004
"order form",207576300004
"preferential degradation",207576300004
"reduce proportion",207576300004
"structural elucidation",207576300004
"sulfuric acid pretreatment",207576300004
"untreated biomass",207576300004
"woody biomass",207576300004
"account variability",207576300005
"bioenergy crop",207576300005
"bioenergy production",207576300005
"carbon change",207576300005
"central plain",207576300005
"energy production",207576300005
"environmental site",207576300005
"gas emission",207576300005
"harvest yield",207576300005
"latitudinal range",207576300005
"life-cycle assessment",207576300005
"long-term site",207576300005
"model assumption",207576300005
"monitoring site",207576300005
"multiple sample",207576300005
"net ghg emission",207576300005
"net greenhouse gas",207576300005
"northern plain",207576300005
"panicum virgatum",207576300005
"SOC change",207576300005
"soil organic carbon",207576300005
"soil sample",207576300005
"spatial variability",207576300005
"switchgrass field",207576300005
"capacity range",207585300003
"consistent decrease",207585300003
"dry condition",207585300003
"free contents",207585300003
"free gas",207585300003
"gas capacity",207585300003
"gas contents",207585300003
"gas production",207585300003
"gas storage",207585300003
"intergranular porosity",207585300003
"lower member",207585300003
"methane adsorption capacity",207585300003
"moisture condition",207585300003
"northeastern british columbia",207585300003
"organic carbon content",207585300003
"organic matter",207585300003
"organic-rich mudrock",207585300003
"percent content",207585300003
"regional scale",207585300003
"reservoir pressure",207585300003
"reservoir scale",207585300003
"river district",207585300003
"shale gas reservoir",207585300003
"sorption capacity",207585300003
"sorption site",207585300003
"thermal maturation",207585300003
"thermal maturity",207585300003
"unit thickness",207585300003
"weight content",207585300003
"carbon content",207585700001
"clay content",207585700001
"depositional environment",207585700001
"equilibrium moisture content",207585700001
"geological control",207585700001
"hydrocarbon generation",207585700001
"lower cretaceous formation",207585700001
"methane capacity",207585700001
"methane molecule",207585700001
"methane sorption capacity",207585700001
"micropore volume",207585700001
"moisture content",207585700001
"northeastern british columbia",207585700001
"organic carbon",207585700001
"positive correlation",207585700001
"sorption site",207585700001
"toc concentration",207585700001
"toc content",207585700001
"water molecule",207585700001
"datum requirement",207909900003
"environmental management activity",207909900003
"future research",207909900003
"numerous technique",207909900003
"output requirement",207909900003
"particular reference",207909900003
"private ownership",207909900003
"public ownership",207909900003
"statistical technique",207909900003
"urban planning",207909900003
"water conservation",207909900003
"water sector",207909900003
"water supply",207909900003
"capital investment",207996300003
"certificate system",207996300003
"cost-effective energy efficiency measure",207996300003
"cost-effective investment",207996300003
"cost reduction",207996300003
"drive force",207996300003
"electricity system",207996300003
"energy efficiency",207996300003
"energy efficiency gap",207996300003
"energy efficiency investment",207996300003
"energy use",207996300003
"further support",207996300003
"industrial energy efficiency",207996300003
"largest barrier",207996300003
"largest force",207996300003
"public policy instrument",207996300003
"rise energy price",207996300003
"staff awareness",207996300003
"technical risk",207996300003
"third force",207996300003
"appealing way",207996300008
"clear way",207996300008
"computerized tool",207996300008
"electricity consumption",207996300008
"empirical evidence",207996300008
"follow feature",207996300008
"improve feedback",207996300008
"interactive tool",207996300008
"international experience",207996300008
"psychological model",207996300008
"relevant feature",207996300008
"research gap",207996300008
"cost-effective means",207998500003
"energy efficiency",207998500003
"energy-related emission",207998500003
"energy use",207998500003
"global greenhouse gas emission",207998500003
"greenhouse gas emission",207998500003
"industrial technology",207998500003
"near future",207998500003
"past decade",207998500003
"additional improvement",208285100001
"biomass stove",208285100001
"black carbon emission",208285100001
"cleaner energy",208285100001
"clean fuel",208285100001
"clean source",208285100001
"comparable service",208285100001
"deployment challenge",208285100001
"design element",208285100001
"emission level",208285100001
"emission reduction",208285100001
"energy option",208285100001
"energy service",208285100001
"enormous gain",208285100001
"estimate emission",208285100001
"greenhouse emission",208285100001
"household energy",208285100001
"incomplete combustion",208285100001
"indian household",208285100001
"international carbon market",208285100001
"international energy initiative",208285100001
"national initiative",208285100001
"national survey",208285100001
"poor woman",208285100001
"premature death",208285100001
"program element",208285100001
"publish literature",208285100001
"regional air quality",208285100001
"solid biomass fuel",208285100001
"substantial reduction",208285100001
"technology development",208285100001
"traditional cookstove",208285100001
"traditional stove",208285100001
"vulnerable section",208285100001
"carbon monoxide",208285300001
"combustion chamber",208285300001
"combustion efficiency",208285300001
"develop world",208285300001
"direct contact",208285300001
"emission measure",208285300001
"energy consumption",208285300001
"energy use",208285300001
"fuel use",208285300001
"heat transfer",208285300001
"improve stove",208285300001
"international energy initiative",208285300001
"international standard",208285300001
"known material",208285300001
"liquid fuel",208285300001
"manufacture technique",208285300001
"moisture content",208285300001
"particulate matter",208285300001
"standard evaluation",208285300001
"systematic investigation",208285300001
"technical property",208285300001
"thorough testing",208285300001
"traditional stove",208285300001
"wood stove",208285300001
"ambitious plan",208676400001
"bigger impact",208676400001
"capital investment",208676400001
"carbon emission",208676400001
"carbon monoxide",208676400001
"coal bed methane",208676400001
"commercial challenge",208676400001
"considerable growth",208676400001
"considerable period",208676400001
"consumption trend",208676400001
"conversion technology",208676400001
"energy conversion efficiency",208676400001
"energy efficiency",208676400001
"energy industry",208676400001
"energy mix",208676400001
"energy source",208676400001
"energy supply",208676400001
"environmental concern",208676400001
"fossil fuel",208676400001
"future supplies",208676400001
"gas consumption",208676400001
"gas market",208676400001
"gas output",208676400001
"gas resource",208676400001
"gas supplies",208676400001
"gas technology",208676400001
"generation market",208676400001
"generation portfolio",208676400001
"global energy demand",208676400001
"grow recognition",208676400001
"growth opportunity",208676400001
"hydrocarbon source",208676400001
"hydrogen fuel cell",208676400001
"last couple",208676400001
"lng facility",208676400001
"market share",208676400001
"more significance",208676400001
"natural gas",208676400001
"natural gas vehicle",208676400001
"next decade",208676400001
"nuclear component",208676400001
"OECD nation",208676400001
"oil reserve",208676400001
"petrochemical feedstock",208676400001
"power generation",208676400001
"power generator",208676400001
"power market",208676400001
"power portfolio",208676400001
"premium fuel",208676400001
"price volatility",208676400001
"real concern",208676400001
"reform process",208676400001
"restricted access",208676400001
"serious attention",208676400001
"shale gas",208676400001
"space heating",208676400001
"strategic role",208676400001
"supply chain",208676400001
"supply concern",208676400001
"synthesis gas",208676400001
"technological challenge",208676400001
"tight gas",208676400001
"transportation fuel",208676400001
"unconventional source",208676400001
"viable source",208676400001
"world economy",208676400001
"world energy demand",208676400001
"basic guideline",208787800006
"conditioning system",208787800006
"electrical power",208787800006
"energy storage device",208787800006
"energy system",208787800006
"extensive bibliography",208787800006
"further technological development",208787800006
"magnetic energy storage",208787800006
"power system",208787800006
"actual system",208788000001
"battery energy storage system",208788000001
"control problem",208788000001
"control scheme",208788000001
"forecast condition",208788000001
"intermittent renewable energy source",208788000001
"operating constraint",208788000001
"photovoltaic system",208788000001
"renewable resource",208788000001
"rule-based scheme",208788000001
"solar photovoltaic",208788000001
"wind farm",208788000001
"wind farm datum",208788000001
"balance power",208788100002
"base storage",208788100002
"battery storage",208788100002
"central power plant",208788100002
"combined heat",208788100002
"conventional generator",208788100002
"conventional unit",208788100002
"danish power system",208788100002
"dynamic system",208788100002
"electricity transmission",208788100002
"electric vehicle",208788100002
"energy plan",208788100002
"future demand",208788100002
"future plan",208788100002
"limited control",208788100002
"long-term system",208788100002
"power capability",208788100002
"power deviation",208788100002
"power plant",208788100002
"power plant unit",208788100002
"power service",208788100002
"power system",208788100002
"power unit",208788100002
"regulation capability",208788100002
"regulation characteristic",208788100002
"regulation service",208788100002
"reliable operation",208788100002
"stable operation",208788100002
"system service",208788100002
"typical day",208788100002
"v2g system",208788100002
"western danish power system",208788100002
"wind power",208788100002
"wind power integration",208788100002
"wind production",208788100002
"cost system",208788100008
"dispatchable source",208788100008
"energy storage system",208788100008
"flow system",208788100008
"hydro generation",208788100008
"integration challenge",208788100008
"large-scale energy storage",208788100008
"large-scale wind power",208788100008
"more control",208788100008
"natural gas turbine",208788100008
"reserve requirement",208788100008
"short notice",208788100008
"simplify controller",208788100008
"variable output",208788100008
"wind farm",208788100008
"wind farm output",208788100008
"wind plant",208788100008
"wind power",208788100008
"active power",208788200004
"active technique",208788200004
"critical period",208788200004
"distribution feeder",208788200004
"droop coefficient",208788200004
"install capacity",208788200004
"power curtailment",208788200004
"power technique",208788200004
"radial feeder",208788200004
"condition application",208788300011
"connect photovoltaic system",208788300011
"dynamic programming",208788300011
"future work",208788300011
"lowest cost",208788300011
"minimal cost",208788300011
"optimization process",208788300011
"peak shaving",208788300011
"power algorithm",208788300011
"power fluctuation",208788300011
"power management",208788300011
"power management mechanism",208788300011
"predictive algorithm",208788300011
"predictive schedule",208788300011
"reactive management",208788300011
"real application",208788300011
"real condition",208788300011
"scheduling algorithm",208788300011
"simulation application",208788300011
"additional variability",208788300012
"energy mix",208788300012
"fuel cost",208788300012
"ocean wave",208788300012
"penetration level",208788300012
"renewable energy",208788300012
"renewable power source",208788300012
"reserve requirement",208788300012
"solar power generation",208788300012
"utility grid",208788300012
"utility requirement",208788300012
"variability characteristic",208788300012
"variable mix",208788300012
"wave generation",208788300012
"wind power generation",208788300012
"active participation",208788400012
"active scheme",208788400012
"demand side management",208788400012
"distribute energy resource",208788400012
"distribution network",208788400012
"distribution system operator",208788400012
"economic benefit",208788400012
"electricity market",208788400012
"energy consumption cost",208788400012
"energy management system",208788400012
"environmental benefit",208788400012
"global energy consumption",208788400012
"intermittent nature",208788400012
"management scheme",208788400012
"market process",208788400012
"open market",208788400012
"price signal",208788400012
"real-time signal",208788400012
"renewable energy source",208788400012
"renewable energy system",208788400012
"smart grid",208788400012
"unpredictable nature",208788400012
"aggregated impact",208788400016
"air pollution",208788400016
"charge process",208788400016
"charge scenario",208788400016
"distribute energy storage system",208788400016
"electrical energy",208788400016
"extensive datum",208788400016
"fossil fuel",208788400016
"greenhouse gas emission",208788400016
"national household travel survey",208788400016
"negative impact",208788400016
"plug-in hybrid electric vehicle",208788400016
"positive impact",208788400016
"power generation",208788400016
"power grid",208788400016
"renewable resource",208788400016
"sustainable development",208788400016
"transportation sector",208788400016
"vehicle technology",208788400016
"central storage",209554500010
"design tool",209554500010
"domestic hot water tank",209554500010
"heat transfer media",209554500010
"latent heat",209554500010
"phase change material",209554500010
"sensible heat",209554500010
"solar collector",209554500010
"storage material",209554500010
"storage volume",209554500010
"sustainable energy",209554500010
"thermal energy storage",209554500010
"thermal storage",209554500010
"thermo-physical property",209554500010
"anode channel",224212400001
"capable model",224212400001
"cathode channel",224212400001
"cell body",224212400001
"cell voltage",224212400001
"double layer capacitance",224212400001
"dynamic fuel cell model",224212400001
"dynamic mechanism",224212400001
"dynamic model",224212400001
"electrochemical model",224212400001
"empirical model",224212400001
"fuel cell center",224212400001
"fuel cell system",224212400001
"global center",224212400001
"mathematical model",224212400001
"operating condition",224212400001
"output power",224212400001
"particular set",224212400001
"PEM fuel cell system",224212400001
"polymer electrolyte membrane fuel cell",224212400001
"real-time control",224212400001
"steady behavior",224212400001
"sudden change",224212400001
"transient dynamics",224212400001
"transient feature",224212400001
"transient mechanism",224212400001
"transient phenomenon",224212400001
"transient response",224212400001
"curve concept",224318500001
"experience curve",224318500001
"frequent use",224318500001
"future reduction",224318500001
"global assessment",224318500001
"global cost",224318500001
"global curve",224318500001
"global development",224318500001
"global experience",224318500001
"global ratio",224318500001
"integrate assessment model",224318500001
"investment cost",224318500001
"limited amount",224318500001
"national market",224318500001
"oil datum",224318500001
"past reduction",224318500001
"possible implication",224318500001
"price development",224318500001
"price reduction",224318500001
"production cost",224318500001
"progress ratio",224318500001
"reduction opportunity",224318500001
"so-called concept",224318500001
"technological development",224318500001
"wind electricity",224318500001
"wind energy development",224318500001
"wind farm",224318500001
"wind power",224318500001
"wind turbine",224318500001
"alternative paradigm",224318500005
"co2 emission",224318500005
"co2 emission policy",224318500005
"co2 mitigation",224318500005
"consumer activity",224318500005
"consumer approach",224318500005
"consumer demand",224318500005
"direct energy use",224318500005
"direct influence",224318500005
"economic activity",224318500005
"energy conservation",224318500005
"energy use",224318500005
"environmental impact",224318500005
"false dichotomy",224318500005
"home energy use",224318500005
"indirect energy use",224318500005
"indirect influence",224318500005
"lifestyle approach",224318500005
"more emission",224318500005
"more energy",224318500005
"personal travel",224318500005
"residential sector",224318500005
"sectoral approach",224318500005
"transportation operation",224318500005
"alternative energy",224318500008
"appropriate tool",224318500008
"decision-making process",224318500008
"energy requirement",224318500008
"green energy",224318500008
"local environmental condition",224318500008
"local requirement",224318500008
"multicriteria analysis",224318500008
"preliminary assessment",224318500008
"sensitivity analysis",224318500008
"sustainable energy",224318500008
"tourism business",224318500008
"turbine configuration",224318500008
"valid tool",224318500008
"wind configuration",224318500008
"wind turbine",224318500008
"cost analysis",224445200004
"cost item",224445200004
"cotton production",224445200004
"diesel consumption",224445200004
"direct energy",224445200004
"economic use",224445200004
"energy consumption",224445200004
"energy management",224445200004
"energy productivity",224445200004
"energy ratio",224445200004
"farm level",224445200004
"farm size",224445200004
"indirect energy",224445200004
"input cost",224445200004
"input energy",224445200004
"land rent",224445200004
"net return",224445200004
"output-input ratio",224445200004
"sample farm",224445200004
"seed cotton",224445200004
"stratified random sampling technique",224445200004
"genetic algorithm approach",224445200012
"possible explanation",224445200012
"power output",224445200012
"production capacity",224445200012
"unidirectional uniform wind wind",224445200012
"variable direction",224445200012
"wind farm",224445200012
"wind turbine",224445200012
"biological nitrogen",224664000002
"internal carbon source",224664000002
"mg/l phosphate",224664000002
"phosphorus removal",224664000002
"piggery wastewater",224664000002
"pig manure",224664000002
"bleached fibre",224664000004
"bleached pulp",224664000004
"bleaching process",224664000004
"cellulose fibre",224664000004
"enzymatic treatment",224664000004
"hplc technique",224664000004
"morphological change",224664000004
"pulp property",224664000004
"sem technique",224664000004
"xrd technique",224664000004
"xylanase treatment",224664000004
"xylan content",224664000004
"xylose content",224664000004
"ammonium sulfate",224664000010
"casein hydrolysate",224664000010
"extract content",224664000010
"lactic acid production",224664000010
"lactobacillus casei",224664000010
"nitrogen source",224664000010
"vitamin content",224664000010
"yeast extract",224664000010
"active microbial community",224664000011
"aeration process",224664000011
"chemical composition",224664000011
"clear succession",224664000011
"composting process",224664000011
"consuming process",224664000011
"culture colony",224664000011
"humification degree",224664000011
"industrial application",224664000011
"maturation phase",224664000011
"mechanical process",224664000011
"microbial colony",224664000011
"microbial population",224664000011
"organic matter degradation",224664000011
"qualitative term",224664000011
"quantitative term",224664000011
"thermophilic phase",224664000011
"turn pile",224664000011
"turn process",224664000011
"biosorption capacity",224664000015
"biosorption experiment",224664000015
"competitive capacity",224664000015
"competitive experiment",224664000015
"freundlich equation",224664000015
"langmuir model",224664000015
"lead ion",224664000015
"metal concentration",224664000015
"metal ion",224664000015
"non-competitive condition",224664000015
"treat cell",224664000015
"yeast biomass",224664000015
"yeast cell",224664000015
"alkaline protease",224664000018
"aqueous extraction",224664000018
"enzymatic extraction",224664000018
"jatropha curca",224664000018
"oil extraction",224664000018
"air pollution control",224666100002
"CFD simulation",224666100002
"commercial CFD code fluent",224666100002
"computational fluid dynamics",224666100002
"cyclone pressure",224666100002
"design approach",224666100002
"doctoral thesis",224666100002
"empirical model",224666100002
"inlet velocity",224666100002
"modelling exercise",224666100002
"operate pressure",224666100002
"pressure drop",224666100002
"co2 emission",224793700004
"considerable decrease",224793700004
"decomposition index",224793700004
"energy intensity",224793700004
"fuel switching",224793700004
"improve intensity",224793700004
"logarithmic mean divisia index",224793700004
"renewable energy penetration",224793700004
"adaptive neuro-fuzzy inference system",224866900002
"air-conditioning system",224866900002
"air loop",224866900002
"centralized system",224866900002
"characteristic analysis",224866900002
"component analysis",224866900002
"consuming device",224866900002
"cool load",224866900002
"differential pressure",224866900002
"duct network",224866900002
"end user",224866900002
"energy consumption",224866900002
"energy device",224866900002
"heat exchanger",224866900002
"hvac system",224866900002
"individual component",224866900002
"limited information",224866900002
"mathematical model",224866900002
"modify genetic algorithm",224866900002
"nonlinear constraint",224866900002
"optimization constraint",224866900002
"pipe network",224866900002
"sensor information",224866900002
"systematic approach",224866900002
"system energy",224866900002
"system energy consumption",224866900002
"traditional one",224866900002
"typical system",224866900002
"water loop",224866900002
"art material",224866900008
"energy building",224866900008
"environmental aspect",224866900008
"european market",224866900008
"fibrous material",224866900008
"future development",224866900008
"future research development",224866900008
"give application",224866900008
"grow sale",224866900008
"inorganic material",224866900008
"insulation material",224866900008
"key tool",224866900008
"last decade",224866900008
"legislative framework",224866900008
"market framework",224866900008
"mechanical property",224866900008
"organic material",224866900008
"public health aspect",224866900008
"thermal property",224866900008
"agricultural sector",224866900011
"assisted ground-source heat pump greenhouse system",224866900011
"cold day",224866900011
"ege university",224866900011
"energy gain",224866900011
"exergetic efficiency",224866900011
"foreseeable future",224866900011
"geothermal heat pump",224866900011
"ground-source heat pump",224866900011
"ground-source heat pump greenhouse heating system",224866900011
"growth condition",224866900011
"heating coefficient",224866900011
"heat pump",224866900011
"heat pump unit",224866900011
"lead role",224866900011
"nominal diameter u-bend ground heat exchanger",224866900011
"renewable energy source",224866900011
"solar energy institute",224866900011
"solar gain",224866900011
"suitable technology",224866900011
"system component",224866900011
"turkish market",224866900011
"water heating system",224866900011
"animal manure",224953700002
"arable soil",224953700002
"clay loam soil",224953700002
"coli o157",224953700002
"dirty water",224953700002
"field experiment",224953700002
"following land application",224953700002
"grassland soil",224953700002
"human food chain",224953700002
"livestock manure",224953700002
"manure heap",224953700002
"pathogen transfer",224953700002
"sandy soil",224953700002
"store slurry",224953700002
"ammonia emission",224953700005
"arable land",224953700005
"cattle slurry",224953700005
"dry matter content",224953700005
"environmental variable",224953700005
"fit model",224953700005
"greatest influence",224953700005
"independent datum set",224953700005
"inherent difference",224953700005
"linear regression",224953700005
"management variable",224953700005
"manure application",224953700005
"mass balance measurement",224953700005
"mass balance technique",224953700005
"measurement technique",224953700005
"micrometeorological technique",224953700005
"pig slurry",224953700005
"solid manure",224953700005
"statistical model",224953700005
"wind speed",224953700005
"wind tunnel",224953700005
"biological kinetics",224953700006
"biological reaction",224953700006
"composting process",224953700006
"constant temperature",224953700006
"consumption kinetics",224953700006
"organic matter",224953700006
"organic matter composition",224953700006
"oxygen kinetics",224953700006
"solid matter",224953700006
"useful tool",224953700006
"correct assessment",224953700017
"cultural aspect",224953700017
"drastic reduction",224953700017
"economical consideration",224953700017
"environmental consideration",224953700017
"environmental pollution",224953700017
"fertilizer use",224953700017
"local cycle",224953700017
"mineral fertilizer",224953700017
"mineral use",224953700017
"nutrient cycle",224953700017
"nutrient surplus",224953700017
"proper attention",224953700017
"specialize farm",224953700017
"agricultural land",224953700018
"agricultural source",224953700018
"agricultural supply",224953700018
"animal excreta",224953700018
"chemical fertiliser",224953700018
"chi minh city",224953700018
"clear concentration",224953700018
"crop rice",224953700018
"development initiative",224953700018
"dominant source",224953700018
"eastern china",224953700018
"environmental impact",224953700018
"ganges basin",224953700018
"ground water",224953700018
"heavy metal",224953700018
"intensive production system",224953700018
"livestock density",224953700018
"livestock manure",224953700018
"livestock production",224953700018
"mass balance",224953700018
"modelled density",224953700018
"nutrient flux",224953700018
"organic matter",224953700018
"phosphate balance",224953700018
"public health",224953700018
"regional scale",224953700018
"rural development",224953700018
"south-east asia",224953700018
"strong gradient",224953700018
"surface water",224953700018
"urban centre",224953700018
"west-east gradient",224953700018
"annual simulation",224997900001
"artificial lighting",224997900001
"computer simulation",224997900001
"double window",224997900001
"electricity consumption",224997900001
"electricity production",224997900001
"energy consumption",224997900001
"energy savings",224997900001
"energy simulation",224997900001
"light transmission",224997900001
"minimum consumption",224997900001
"natural transmission",224997900001
"office building",224997900001
"semi-transparent cell",224997900001
"single window",224997900001
"solar cell",224997900001
"solar transmittance",224997900001
"wall ratio",224997900001
"acceptable range",224997900010
"battery storage",224997900010
"cell hybrid energy system",224997900010
"conventional storage",224997900010
"converter unit",224997900010
"double layer capacitance",224997900010
"dynamic aspect",224997900010
"dynamic modeling",224997900010
"excess energy",224997900010
"fuel cell",224997900010
"fuel cell system",224997900010
"hybrid energy system",224997900010
"isolate system",224997900010
"later use",224997900010
"nonlinear hybrid system",224997900010
"output fluctuation",224997900010
"pid controller",224997900010
"possible situation",224997900010
"power converter",224997900010
"power generation",224997900010
"power unit",224997900010
"proposed system",224997900010
"proton exchange membrane fuel cell",224997900010
"remote community",224997900010
"speed load",224997900010
"system dynamics",224997900010
"temperature variation",224997900010
"transient response",224997900010
"voltage fluctuation",224997900010
"voltage variation",224997900010
"wind energy",224997900010
"wind speed",224997900010
"wind speed variation",224997900010
"wind turbine",224997900010
"working cell",224997900010
"acceptable level",225057800006
"amine scrubbing",225057800006
"capable system",225057800006
"carbon dioxide",225057800006
"carbon dioxide capture",225057800006
"carbon dioxide level",225057800006
